ET_dice,ET_hd95,TC_dice,TC_hd95,WT_dice,WT_hd95,case,fold,gt_ET_vox,gt_TC_vox,gt_WT_vox,mean_dice,mean_hd95,pred_ET_vox,pred_TC_vox,pred_WT_vox,trainer
0.7821229050279329,1.0,0.8831296035104216,2.23606797749979,0.9794990576759844,1.0,BraTS20_Training_315.nii.gz,3,109,22547,34226,0.8815838554047797,1.4120226591665965,70,28501,35283,nnUNetTrainerUMambaEnc_150epochs
0.3349536014140521,11.97491258634388,0.8904602060339486,5.385164807134504,0.9575450935475168,3.1622776601683795,BraTS20_Training_318.nii.gz,3,1855,159875,212186,0.7276529669985059,6.840785017882254,408,133863,210380,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.891784529825307,4.358898943540674,0.9106100748272529,4.47213595499958,BraTS20_Training_323.nii.gz,3,4674,104710,232098,0.6007982015508533,4.415517449270126,0,111784,214798,nnUNetTrainerUMambaEnc_150epochs
0.0,29.802665738717423,0.6212379329926179,9.1104335791443,0.3993458221825751,19.209372712298546,BraTS20_Training_325.nii.gz,3,125,9759,17082,0.34019458505839767,19.374157343386756,32,16656,63630,nnUNetTrainerUMambaEnc_150epochs
0.4065908125206553,9.219544457292887,0.8651170688051164,7.615773105863909,0.9686694600794433,1.7320508075688772,BraTS20_Training_327.nii.gz,3,16868,151492,183843,0.7467924471350716,6.189122790241891,4313,131205,183211,nnUNetTrainerUMambaEnc_150epochs
0.6339712918660287,51.06074048023926,0.7436890761897481,12.206555615733702,0.9495427831762006,3.0,BraTS20_Training_328.nii.gz,3,1036,190188,361783,0.7757343837439925,22.089098698657654,1472,215339,357460,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.7809387141341435,7.483314773547883,0.9243558662251352,3.605551275463989,BraTS20_Training_335.nii.gz,3,0,60154,136334,0.5684315267864263,5.544433024505936,620,70855,125180,nnUNetTrainerUMambaEnc_150epochs
0.9279211065762988,1.0,0.9692384554992506,1.4142135623730951,0.9770105248205543,1.0,BraTS20_Training_337.nii.gz,3,28232,49901,111967,0.9580566956320345,1.1380711874576983,25917,48176,113310,nnUNetTrainerUMambaEnc_150epochs
0.6419362135263516,11.090536506409418,0.788521135490269,5.0990195135927845,0.9432370286380307,2.0,BraTS20_Training_344.nii.gz,3,8988,19454,79098,0.7912314592182171,6.063185340000734,4275,12814,78769,nnUNetTrainerUMambaEnc_150epochs
0.9057700799764486,1.4142135623730951,0.9457950751252087,3.0,0.9781316335710883,1.0,BraTS20_Training_348.nii.gz,3,43762,60044,85112,0.9432322628909152,1.804737854124365,37762,54964,84951,nnUNetTrainerUMambaEnc_150epochs
0.9575273791337651,1.0,0.9796676234010134,1.0,0.9675357656818759,1.0,BraTS20_Training_363.nii.gz,3,46541,70428,120394,0.9682435894055514,1.0,46413,70677,115866,nnUNetTrainerUMambaEnc_150epochs
0.9378903888776949,1.0,0.9435301423945349,2.8284271247461903,0.9605607155829279,1.7320508075688772,BraTS20_Training_367.nii.gz,3,19484,21460,126642,0.9473270822850526,1.8534926441050226,20220,23626,123895,nnUNetTrainerUMambaEnc_150epochs
0.8551771585827314,1.0,0.91156271899089,1.0,0.7781228546209422,5.385164807134504,BraTS20_Training_003.nii.gz,3,2998,3731,29807,0.8482875773981878,2.461721602378168,2816,3404,31371,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.8971688903351773,1.0,0.9332198158888948,11.260466695786967,0.9180192713969186,2.0,BraTS20_Training_007.nii.gz,3,6159,9557,39772,0.9161359925403303,4.753488898595656,6133,9236,37856,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.8484513552211811,1.0,0.9238127172934719,2.8284271247461903,0.9149053287008813,3.0,BraTS20_Training_014.nii.gz,3,18255,27568,80396,0.8957231337385114,2.2761423749153966,21554,29095,88557,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.909482164041162,1.0,0.9702027810737665,1.0,0.9253052587305969,2.0,BraTS20_Training_025.nii.gz,3,17433,36909,73437,0.9349967346151751,1.3333333333333333,18814,38098,78729,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9197044486004231,1.0,0.9584002705673459,1.0,0.9572089595020679,1.0,BraTS20_Training_033.nii.gz,3,16009,24355,122656,0.9451045595566123,1.0,16608,22953,121554,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.8779447142662612,1.0,0.950767378874511,1.0,0.9205520558221747,1.7320508075688772,BraTS20_Training_052.nii.gz,3,10897,16886,45951,0.916421382987649,1.2440169358562925,11134,16344,51358,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9070266486066934,1.0,0.962071424441575,1.0,0.9555487357027341,1.4142135623730951,BraTS20_Training_062.nii.gz,3,30143,50151,142132,0.9415489362503342,1.1380711874576983,35564,53623,147871,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.8381917558642679,1.0,0.9296968520495649,1.4142135623730951,0.9484511483233201,1.0,BraTS20_Training_066.nii.gz,3,8665,15461,59246,0.9054465854123843,1.1380711874576983,8899,15448,58099,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.7464451085350234,1.4142135623730951,0.8592307355708222,3.605551275463989,0.9320839816093561,1.7320508075688772,BraTS20_Training_070.nii.gz,3,12743,35286,57830,0.8459199419050673,2.2506052151353204,17708,33273,56576,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.6730990121755112,3.7416573867739413,0.8811269225240764,1.4142135623730951,0.8491453661596362,2.449489742783178,BraTS20_Training_079.nii.gz,3,1470,3609,7285,0.8011237669530746,2.535120230643405,2883,3348,5469,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.850928460457202,1.4142135623730951,0.8480568961137922,3.1622776601683795,0.8990581273355259,2.0,BraTS20_Training_080.nii.gz,3,6688,10560,43464,0.8660144946355067,2.192163740847158,6829,9125,41367,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.7023786501643783,5.830951894845301,0.8774904096027719,9.057802986468998,0.915361614396308,1.7320508075688772,BraTS20_Training_085.nii.gz,3,3691,7813,36221,0.8317435580544861,5.540268562961058,6651,8349,37020,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.0,93.66963221877195,0.0,95.09994742374992,0.0,96.0728889958036,BraTS20_Training_087.nii.gz,3,406,7516,26806,0.0,94.94748954610849,2,68,68,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.8769425413573321,1.0,0.9103929005520817,2.449489742783178,0.9728921808200198,1.0,BraTS20_Training_095.nii.gz,3,18549,33378,103768,0.9200758742431445,1.4831632475943926,23342,34909,106983,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9295035132422207,1.0,0.972592398343942,1.0,0.9605019041109266,1.4142135623730951,BraTS20_Training_097.nii.gz,3,37193,61963,79531,0.9541992718990298,1.1380711874576983,40513,63878,84325,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.8787878787878788,5.656854249492381,0.8448275862068966,6.212456398179303,0.6170585292646323,10.816653826391969,BraTS20_Training_099.nii.gz,3,1238,1238,7513,0.7802246647531359,7.561988158021218,1534,1662,16475,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9291733711511714,1.0,0.9702182814387132,1.0,0.9364711578364919,3.7416573867739413,BraTS20_Training_103.nii.gz,3,37271,51228,58208,0.9452876034754588,1.9138857955913138,36063,50613,57456,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9059955588452998,1.0,0.9126180836707153,1.0,0.7519346517626827,29.748949561287034,BraTS20_Training_110.nii.gz,3,2786,2872,15762,0.8568494314262326,10.582983187095678,2618,3056,12150,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9691556058795161,1.0,0.9873597771097588,1.0,0.9739048668418456,1.0,BraTS20_Training_112.nii.gz,3,48172,68462,170359,0.9768067499437069,1.0,47210,67928,176334,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9353533359652586,1.0,0.9701417200543584,1.0,0.9587342709104367,1.0,BraTS20_Training_117.nii.gz,3,9819,12700,78134,0.9547431089766846,1.0,10445,13055,73178,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9497466794468027,1.0,0.9723717892135229,1.0,0.9610705596107056,1.0,BraTS20_Training_122.nii.gz,3,3611,5674,16585,0.9610630094236771,1.0,3692,5655,16295,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.9173621133212022,1.0,0.9241730529099234,2.449489742783178,0.9286401038870229,3.0,BraTS20_Training_126.nii.gz,3,16152,19712,38000,0.9233917567060494,2.1498299142610593,15722,21131,42087,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
0.964684476056571,1.0,0.9754464285714286,1.0,0.9633408919123205,1.0,BraTS20_Training_127.nii.gz,3,6204,6360,43568,0.9678239321801068,1.0,5887,6184,41104,nnUNetTrainerUMambaEncRTHD_StageAwareDecoder_SkipCalibration_150epochs
