model,fold,case,region,gt_voxels,pred_voxels,mask_status,hd95_status,hd95_mm
SegMamba_150epochs,0,BraTS20_Training_137.nii.gz,ET,36577,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_138.nii.gz,WT,210327,,both_nonempty,finite,4.0
SegMamba_150epochs,0,BraTS20_Training_138.nii.gz,TC,76709,,both_nonempty,finite,9.9498743710662
SegMamba_150epochs,0,BraTS20_Training_138.nii.gz,ET,42366,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_145.nii.gz,WT,82735,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_145.nii.gz,TC,32164,,both_nonempty,finite,3.605551275463989
SegMamba_150epochs,0,BraTS20_Training_145.nii.gz,ET,20437,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_150.nii.gz,WT,149302,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_150.nii.gz,TC,52144,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_150.nii.gz,ET,46595,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_155.nii.gz,WT,144602,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_155.nii.gz,TC,41141,,both_nonempty,finite,3.0
SegMamba_150epochs,0,BraTS20_Training_155.nii.gz,ET,29312,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_162.nii.gz,WT,107328,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_162.nii.gz,TC,41675,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_162.nii.gz,ET,34538,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_165.nii.gz,WT,143759,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_165.nii.gz,TC,39933,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_165.nii.gz,ET,35721,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_174.nii.gz,WT,95391,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_174.nii.gz,TC,28513,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_174.nii.gz,ET,25236,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_175.nii.gz,WT,186689,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_175.nii.gz,TC,95022,,both_nonempty,finite,4.358898943540674
SegMamba_150epochs,0,BraTS20_Training_175.nii.gz,ET,79009,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_176.nii.gz,WT,105852,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_176.nii.gz,TC,46728,,both_nonempty,finite,4.123105625617661
SegMamba_150epochs,0,BraTS20_Training_176.nii.gz,ET,3852,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_183.nii.gz,WT,186261,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_183.nii.gz,TC,56943,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_183.nii.gz,ET,49748,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_185.nii.gz,WT,88649,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_185.nii.gz,TC,50042,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_185.nii.gz,ET,31255,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_187.nii.gz,WT,91560,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_187.nii.gz,TC,56625,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_187.nii.gz,ET,39514,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_192.nii.gz,WT,110151,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_192.nii.gz,TC,37263,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_192.nii.gz,ET,19875,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_197.nii.gz,WT,131589,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_197.nii.gz,TC,72106,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,0,BraTS20_Training_197.nii.gz,ET,54064,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_203.nii.gz,WT,89516,,both_nonempty,finite,5.0
SegMamba_150epochs,0,BraTS20_Training_203.nii.gz,TC,13311,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_203.nii.gz,ET,9371,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_204.nii.gz,WT,19075,,both_nonempty,finite,3.6736043311189652
SegMamba_150epochs,0,BraTS20_Training_204.nii.gz,TC,9318,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_204.nii.gz,ET,8858,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_205.nii.gz,WT,31109,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_205.nii.gz,TC,4782,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_205.nii.gz,ET,4439,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_207.nii.gz,WT,59206,,both_nonempty,finite,3.0
SegMamba_150epochs,0,BraTS20_Training_207.nii.gz,TC,27493,,both_nonempty,finite,3.0
SegMamba_150epochs,0,BraTS20_Training_207.nii.gz,ET,25463,,both_nonempty,finite,3.1622776601683795
SegMamba_150epochs,0,BraTS20_Training_208.nii.gz,WT,166140,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_208.nii.gz,TC,67394,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,0,BraTS20_Training_208.nii.gz,ET,36506,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_210.nii.gz,WT,175646,,both_nonempty,finite,3.0
